Comment ID	Comment	Grammatically corrected comment	Politics	Hate Speech	Data																			
1	Ky asht abasadori i foltores	Ky eshte ambasadori i foltores!	Politics	F	185																			
2	"Para se te flasin per demokraci keta qe mbrojn opoziten ! Duhet te mesohen te len rradhe te flasin te tjeret se nuk kan per te ardh kur ne pushtet me kete menyre te foluri .
Dhe shpopullimi eshte problem i qe te gjitha qeverive qe kan qeverisur me perpara sepse nuk ka pas plan konkret si te ndalohet nuk e ka fajin vetem nje qeveri .Dhe menyra me e Mir dhe me demokratike eshte qe te funksionoje ligji. Pasaj behet cte gje ekonomia ,mirqenia dhe progresi.
Pa ligj nuk ka demokraci mos mesoni USA ca eshte democracia dhe pse nuk flet per demokracin! Se foli me shum duke mbeshtet Spak ai Eshte celsi I progresit te shqiperis"	"Para se te flasin per demokraci keta qe mbrojne opoziten, duhet te mesohen te lene rradhe te flasin te tjeret se nuk kane per te ardhur kurre ne pushtet me kete menyre te te folurit .
Dhe shpopullimi eshte problem i te gjitha qeverive qe kane qeverisur me perpara sepse nuk ka pasur plan konkret si te ndalohet, nuk e ka fajin vetem nje qeveri .Menyra me e mire dhe me demokratike eshte qe te funksionoje ligji. Pastaj behet cdo gje ekonomia ,mireqenia dhe progresi.
Pa ligj nuk ka demokraci, mos mesoni Ameriken cfare eshte demokracia dhe pse nuk flet per demokracine! Se foli me shume duke mbeshtetur Spak, ai eshte celsi i progresit te Shqiperise"	Politics	F	265																			
3	Kta kan prit se ka me shkua nar dritare	Keta kane pritur nese ka per te shkuar neper dritare.	Politics	F	188																			
4	Pse keto rrangalla qe rrin posht ballkonit do priste z.Blanken 😢😢 Hajde toc hajde ju tu takonte , ju antiamerikaneve te thekur 😢😢 Ky toc thote qe ai nuk eshte i afte se duhet te vinte posht ballkonit😢😢 Na i cpifet me perrallat e Balliut dhe Neshon	Pse keto rrangallat qe rrine poshte ballkonit do priste z.Blanken 😢😢 . Hajde matufe hajde! Juve do u takonte , ju anti-amerikaneve te thekur 😢😢 Ky matuf thote qe ai nuk eshte i afte sepse duhet te vinte poshte ballkonit😢😢 Na e shpifet me perrallat e Balliut dhe Neshon.	Politics	T	339																			
5	Gjynah qe ky Nesho ka perfaqesuar shwiperine nje sahan lepires i  non grates	Gjynah qe ky Nesho ka perfaqesuar Shqiperine, sahan lepires i  "non grata-es".	Politics	T	236																			
6	Ky Nesho mos iku per korrupsion si Ambasador ?	Ky Nesho mos ndoshta iku per korrupsion si ambasador ?	Politics	F	239																			
7	Neshua pret Trampin ndersa kjo goca te marij fryme se e ekzaltoj Neshon me dijet 😢😢	Nesho pret Trampin, ndersa kjo goca te marr fryme se e ekzaltoj Neshon me dijet. 😢😢	Politics	F																				
8	Pyetje nuk eshte turp qe ky cuni Faros te marre ne goje Blinken apo Nesho qe besoj  se i jane thare trute nga mosha , mos prisnin qe te shkonte posht ballkonit te nongrada	Pyetje: Nuk eshte turp qe ky çuni i Faros te marr ne goje Blinken apo Nesho qe besoj  se i jane thare trute nga mosha? Mos prisnin qe te shkonte poshte ballkonit te "non grata-es".	Politics	T																				
9	Mjere per ķeta tocat e rinj qe mesojn hartime permendesh Ku i gjen o Fevzi mor aman Keta jane kunguj te pa bere	Mjere per ķeta matufet e rinj qe mesojne hartime permendesh. Ku i gjen o Fevzi mor aman?! Keta jane kunguj te pabere.	Politics	T																				
10	Keta ankohen qe avjonin e ka ne dispozicion dhe quhet po te kthehej ne Amerike se kjo nuk quhet vizite😢😢😢😢😢😢😢 keta jane k.qe	Keta ankohen qe avionin e ka ne dispozicion dhe quhet po te kthehej ne Amerike. Se kjo nuk quhet vizite😢😢😢😢😢😢😢 ,keta jane koqe!	Politics	T																				
11	Kti batonit ju ka dhimt serbija qe e kan bombardue nato	Ketij Batonit ju ka dhimbsur Serbia qe e ka bombarduar Nato.	Politics	F																				
